"station_id","terminal_id","x_lon","y_lat","address","postcode","place","area","docks","first_hire","last_hire","is_active","hires_started","duration_started","hires_ended","duration_ended","hires_self","duration_self","hires_started_noself","duration_started_noself","hires_ended_noself","duration_ended_noself","OA","LSOA","MSOA","LAD","WARD","PCON","PCS","PCD","PCA"
1,"001023",-0.10997,51.529163,"24 River St, London EC1R 1XN, UK","EC1R1XN","River Street","Clerkenwell",19,20120104,20170919,1,48875,849,34018,1097,1758,1121,47117,839,32260,1095,"E00013560","E01002729","E02000574","E09000019","","","EC1R1","EC1R","EC"
2,"001018",-0.197574,51.499606,"1 Phillimore Gardens, Kensington, London W8 7QB, UK","W8  7RA","Phillimore Gardens","Kensington",37,20120104,20170919,1,72309,1418,75037,1230,1890,3670,70419,1357,73147,1167,"E00014391","E01002865","E02000587","E09000020","","","W8  7","W8","W"
3,"001012",-0.084605,51.521283,"9 Christopher St, London EC2A 2BS, UK","EC2A2BU","Christopher Street","Liverpool Street",32,20120104,20170919,1,75510,920,85280,854,615,2552,74895,907,84665,841,"E00008834","E01033708","E02000371","E09000012","","","EC2A2","EC2A","EC"
4,"001013",-0.120973,51.530059,"8 St Chad's St, Kings Cross, London, UK","WC1X8QS","St. Chad's Street","King's Cross",23,20120104,20170919,1,84390,1148,97937,1055,990,3044,83400,1125,96947,1035,"E00004659","E01000938","E02000189","E09000007","","","WC1X8","WC1X","WC"
5,"003420",-0.156876,51.49313,"3 Sedding St, Belgravia, London SW1X 9DE, UK","SW1W8EE","Sedding Street","Sloane Square",27,20120104,20170919,1,98484,1315,104457,1272,1844,3466,96640,1274,102613,1232,"E00014368","E01002859","E02000588","E09000020","","","SW1W8","SW1W","SW"
6,"003424",-0.144228,51.518117,"3 Portland Pl, Marylebone, London W1B 1HR, UK","W1B 1HR","Broadcasting House","Marylebone",18,20120104,20170919,1,86196,1109,91468,1180,1321,3143,84875,1078,90147,1151,"E00024124","E01004765","E02000972","E09000033","","","W1B 1","W1B","W"
7,"003422",-0.168074,51.5343,"53 Allitsen Rd, London NW8 7DE, UK","NW8 7BT","Charlbert Street","St. John's Wood",16,20120104,20170919,1,42104,1388,37640,1529,2561,3054,39543,1280,35079,1418,"E00023889","E01004724","E02000960","E09000033","","","NW8 7","NW8","NW"
8,"003423",-0.170134,51.528341,"48 Lodge Rd, London NW8 8NZ, UK","NW8 8JY","Lodge Road","St. John's Wood",18,20120104,20170919,1,13378,1285,10609,1431,401,3763,12977,1209,10208,1339,"E00023902","E01004725","E02000962","E09000033","","","NW8 8","NW8","NW"
9,"001015",-0.09644,51.507385,"18 New Globe Walk, London SE1 9DR, UK","SE1 9DR","New Globe Walk","Bankside",19,20120104,20170919,1,103385,1208,104690,1185,2044,1702,101341,1198,102646,1174,"E00167481","E01003935","E02000808","E09000028","","","SE1 9","SE1","SE"
10,"001024",-0.092754,51.505974,"28-30 Park St, London SE1, UK","SE1 9ER","Park Street","Bankside",18,20120104,20170919,1,68525,1344,72925,1281,1281,2436,67244,1323,71644,1260,"E00019780","E01003935","E02000808","E09000028","","","SE1 9","SE1","SE"
11,"001022",-0.122502,51.523951,"11-13 Brunswick Square, London WC1N 1AF, UK","WC1N1AW","Brunswick Square","Bloomsbury",24,20120104,20170919,1,94211,926,90602,868,1227,3137,92984,896,89375,837,"E00004179","E01000853","E02000190","E09000007","","","WC1N1","WC1N","WC"
12,"000980",-0.130431,51.52168,"Malet St, London WC1E 7HZ, UK","WC1E7HX","Malet Street","Bloomsbury",49,20120104,20170919,1,169763,920,172347,900,2267,2147,167496,904,170080,884,"E00004193","E01000850","E02000191","E09000007","","","WC1E7","WC1E","WC"
13,"000970",-0.136039,51.519914,"2 Scala St, Fitzrovia, London W1T, UK","W1T 2NU","Scala Street","Fitzrovia",21,20120104,20170919,1,65996,934,69747,944,834,2198,65162,918,68913,929,"E00004198","E01000851","E02000191","E09000007","","","W1T 2","W1T","W"
14,"001011",-0.123616,51.529943,"2 Belgrove St, Kings Cross, London WC1H, UK","NW1 2SB","Belgrove Street","King's Cross",48,20120104,20170919,1,522253,1007,513717,1007,3280,4031,518973,988,510437,987,"E00004658","E01000939","E02000189","E09000007","","","NW1 2","NW1","NW"
15,"000988",-0.127854,51.517727,"97 Great Russell St, Fitzrovia, London WC1B, UK","WC1B3LE","Great Russell Street","Bloomsbury",26,20120104,20170919,1,103757,1188,105051,1122,1361,3448,102396,1158,103690,1092,"E00174659","E01000855","E02000193","E09000007","","","WC1B3","WC1B","WC"
16,"001010",-0.125979,51.526357,"1 Cartwright Gardens, Kings Cross, London WC1H, UK","WC1N1AG","Cartwright Gardens","Bloomsbury",22,20120104,20170919,1,105268,999,98051,935,1794,2971,103474,965,96257,897,"E00004649","E01000943","E02000190","E09000007","","","WC1N1","WC1N","WC"
17,"001008",-0.109006,51.521661,"Blackbull Yard, London EC1N, UK","EC1N8LX","Hatton Wall","Holborn",26,20120104,20170919,1,154008,909,156225,891,1920,2151,152088,893,154305,875,"E00004542","E01000916","E02000192","E09000007","","","EC1N8","EC1N","EC"
18,"001007",-0.122219,51.51477,"36-37 Drury Ln, London WC2B 5RR, UK","WC2B5AD","Drury Lane","Covent Garden",27,20120104,20170919,1,179031,1116,187132,1166,2098,2846,176933,1096,185034,1146,"E00004527","E01000918","E02000193","E09000007","","","WC2B5","WC2B","WC"
19,"001009",-0.131161,51.52505,"14 Taviton St, Kings Cross, London WC1H 0BW, UK","WC1H0PY","Taviton Street","Bloomsbury",30,20120104,20170919,1,103193,950,101143,890,1252,2394,101941,932,99891,871,"E00004173","E01000852","E02000191","E09000007","","","WC1H0","WC1H","WC"
20,"000993",-0.135273,51.527736,"93 Drummond St, Kings Cross, London NW1, UK","NW1 2LW","Drummond Street","Euston",28,20120104,20170919,1,97290,1052,78059,1026,989,3559,96301,1027,77070,993,"E00004694","E01000945","E02000188","E09000007","","","NW1 2","NW1","NW"
21,"003426",-0.138846,51.530078,"140 Hampstead Rd, Kings Cross, London NW1 2BX, UK","NW1 3SH","Hampstead Road (Cartmel)","Euston",16,20120104,20170919,1,31094,1146,27136,1174,690,2510,30404,1115,26446,1139,"E00004722","E01000950","E02000188","E09000007","","","NW1 3","NW1","NW"
22,"003425",-0.114079,51.522264,"57A Gray's Inn Rd, London WC1X 8PP, UK","WC1N2JE","Northington Street","Holborn",19,20120104,20170919,1,100619,868,102497,826,997,1998,99622,857,101500,814,"E00174674","E01000920","E02000192","E09000007","","","WC1N2","WC1N","WC"
23,"003421",-0.119123,51.519435,"Old N St, London WC1R, UK","WC1R4RB","Red Lion Square","Holborn",16,20120104,20170919,1,72404,908,69829,921,556,2145,71848,899,69273,911,"E00004554","E01000914","E02000193","E09000007","","","WC1R4","WC1R","WC"
24,"000981",-0.124678,51.51908,"27 Montague St, London WC1B, UK","WC1B5BW","British Museum","Bloomsbury",35,20120104,20170919,1,140255,1238,141021,1193,2422,3254,137833,1202,138599,1157,"E00004169","E01000855","E02000193","E09000007","","","WC1B5","WC1B","WC"
